administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1.0,0.7046335442479728,0.09028886187014007,0.38223312921240016,0.30991917664109786,0.3324127510552379,,,0.603290117320049,0.3263777665115088,0.6812841774604608
,,0.7046335442479728,1.0,0.005847680810601965,0.38424936239429386,0.5751759696476241,0.13232460069394994,,,0.7699893190601022,0.4631424081814432,0.9667680429874663
,,0.09028886187014007,0.005847680810601965,1.0,0.23094786552575491,0.016448395248624362,0.06004359574973761,,,0.00013596850604452736,0.2125126343029435,0.04613706971925084
,,0.38223312921240016,0.38424936239429386,0.23094786552575491,1.0,0.3342918334789297,0.3856475615293594,,,0.13334805168751004,0.18147783027122358,0.37881861759501917
,,0.30991917664109786,0.5751759696476241,0.016448395248624362,0.3342918334789297,1.0,0.017594247496801184,,,0.3700774230181131,0.2679384505553922,0.5592973714103286
,,0.3324127510552379,0.13232460069394994,0.06004359574973761,0.3856475615293594,0.017594247496801184,1.0,,,0.038134510544914846,0.22246739331543566,0.08709231011116098
,,,,,,,,,,,,
,,,,,,,,,,,,
,,0.603290117320049,0.7699893190601022,0.00013596850604452736,0.13334805168751004,0.3700774230181131,0.038134510544914846,,,1.0,0.3528471228989672,0.7365365737467794
,,0.3263777665115088,0.4631424081814432,0.2125126343029435,0.18147783027122358,0.2679384505553922,0.22246739331543566,,,0.3528471228989672,1.0,0.2245984444613198
,,0.6812841774604608,0.9667680429874663,0.04613706971925084,0.37881861759501917,0.5592973714103286,0.08709231011116098,,,0.7365365737467794,0.2245984444613198,1.0
