administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1.0,0.7678096716150303,0.3569974265040776,0.388686221202794,0.6504689872384088,0.17323184777174244,,,0.5974328052080576,0.44539187674300157,0.6548181799125874
,,0.7678096716150303,1.0,0.46682399714856043,0.5439049586117345,0.7497381164711758,0.2182311529742912,,,0.6570992558553769,0.5824120869294057,0.8562662289915628
,,0.3569974265040776,0.46682399714856043,1.0,0.25997388685555084,0.3502213753713012,0.39444500048589926,,,0.30170173378721693,0.9886563260255696,0.05626730363495419
,,0.388686221202794,0.5439049586117345,0.25997388685555084,1.0,0.45532389385786737,0.06671472956663924,,,0.1655362533852754,0.324344795716459,0.4768539344459627
,,0.6504689872384088,0.7497381164711758,0.3502213753713012,0.45532389385786737,1.0,0.050902156552179396,,,0.6307142838882573,0.4369380395249365,0.6423892906816213
,,0.17323184777174244,0.2182311529742912,0.39444500048589926,0.06671472956663924,0.050902156552179396,1.0,,,0.061887645764621066,0.3885506298812317,0.017694059226816276
,,,,,,,,,,,,
,,,,,,,,,,,,
,,0.5974328052080576,0.6570992558553769,0.30170173378721693,0.1655362533852754,0.6307142838882573,0.061887645764621066,,,1.0,0.3764046781624943,0.5533927292687665
,,0.44539187674300157,0.5824120869294057,0.9886563260255696,0.324344795716459,0.4369380395249365,0.3885506298812317,,,0.3764046781624943,1.0,0.08091055113258575
,,0.6548181799125874,0.8562662289915628,0.05626730363495419,0.4768539344459627,0.6423892906816213,0.017694059226816276,,,0.5533927292687665,0.08091055113258575,1.0
