administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1.0,0.8674803033651152,0.1469227125353308,0.67164210242786,0.7940689230447534,,,,0.870388279778489,0.36750012132179016,0.7797600736681295
,,0.8674803033651152,1.0,0.10190722544795917,0.7025179133664405,0.8019295314494543,,,,0.9999373657574109,0.42219904813465714,0.895820005969
,,0.1469227125353308,0.10190722544795917,1.0,0.12705551421167002,0.17039229334259376,,,,0.10449607088248161,0.39683401659345763,0.07790024298668108
,,0.67164210242786,0.7025179133664405,0.12705551421167002,1.0,0.7606953970487937,,,,0.705278841598269,0.29778670723716366,0.6318424710649819
,,0.7940689230447534,0.8019295314494543,0.17039229334259376,0.7606953970487937,1.0,,,,0.8049844718999244,0.33988496623675546,0.7211663641313409
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,0.870388279778489,0.9999373657574109,0.10449607088248161,0.705278841598269,0.8049844718999244,,,,1.0,0.42222549390866976,0.8958761184911358
,,0.36750012132179016,0.42219904813465714,0.39683401659345763,0.29778670723716366,0.33988496623675546,,,,0.42222549390866976,1.0,0.024078510240747645
,,0.7797600736681295,0.895820005969,0.07790024298668108,0.6318424710649819,0.7211663641313409,,,,0.8958761184911358,0.024078510240747645,1.0
